uuid,label_5,label_10,label_20,label_40,label_60
0,2,0,0,0,0
1,2,0,0,0,0
2,0,0,0,0,0
3,2,2,2,0,0
4,2,0,0,0,0
5,2,0,2,0,0
6,0,0,0,0,0
7,2,0,0,0,0
8,0,0,0,0,0
9,1,0,1,0,0
10,0,0,0,0,0
11,2,2,2,0,0
12,2,2,1,0,0
13,2,0,1,0,0
14,1,0,0,0,0
15,2,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,2,0,0,0,0
19,0,0,1,0,0
20,2,2,1,0,0
21,1,0,1,0,0
22,1,0,1,0,0
23,1,2,1,0,2
24,2,2,1,0,2
25,2,2,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,2,2,0,0,2
29,2,2,1,0,2
30,2,0,0,0,2
31,2,0,0,0,2
32,2,2,1,0,2
33,0,0,0,0,0
34,0,0,0,0,2
35,2,2,2,2,2
36,0,0,0,0,0
37,0,0,1,0,2
38,2,2,2,2,2
39,2,2,1,2,2
40,2,2,1,2,2
41,0,0,1,2,2
42,1,0,1,2,2
43,1,0,1,2,2
44,1,0,1,2,2
45,2,0,1,2,2
46,2,0,1,2,2
47,2,2,2,2,2
48,2,2,1,2,2
49,2,2,1,2,2
50,2,2,1,2,2
51,2,2,1,2,2
52,2,2,2,2,2
53,2,2,2,2,2
54,2,2,2,2,2
55,2,2,2,2,2
56,2,2,2,2,2
57,0,0,0,2,2
58,2,0,0,2,2
59,0,0,2,2,2
60,2,2,2,2,2
61,2,2,2,2,2
62,2,2,1,2,2
63,0,0,2,2,2
64,2,2,2,2,2
65,2,2,2,2,2
66,0,0,2,2,2
67,0,0,2,2,2
68,0,0,1,2,2
69,0,0,2,2,2
70,2,0,1,2,2
71,0,0,1,2,2
72,0,0,1,2,2
73,0,0,1,2,2
74,0,0,1,2,2
75,0,0,1,2,2
76,2,2,1,2,2
77,0,0,1,2,2
78,0,0,1,2,2
79,2,2,2,2,2
80,2,2,2,2,2
81,0,2,2,2,2
82,0,2,1,2,2
83,2,2,2,2,2
84,0,2,2,2,2
85,0,2,2,2,2
86,2,2,2,2,2
87,2,2,2,2,2
88,2,2,2,2,2
89,0,0,2,2,2
90,2,2,2,2,2
91,2,2,2,2,2
92,2,2,2,2,2
93,0,2,2,2,2
94,2,2,2,2,2
95,2,2,2,2,2
96,2,2,2,2,2
97,2,2,2,2,2
98,2,2,2,2,2
99,2,2,2,2,2
100,2,2,2,2,2
101,2,2,2,2,2
102,2,2,2,2,2
103,0,2,2,2,2
104,2,2,2,2,2
105,2,2,2,2,2
106,0,2,2,2,2
107,2,2,2,2,2
108,2,2,2,2,2
109,2,2,2,2,2
110,2,2,2,2,2
111,2,2,2,2,2
112,2,2,2,2,2
113,2,2,2,2,2
114,2,2,2,2,2
115,2,2,2,2,2
116,2,2,2,2,2
117,2,2,2,2,2
118,2,2,2,2,2
119,2,2,2,2,2
120,2,2,2,2,2
121,2,2,2,2,2
122,2,2,2,2,2
123,2,2,2,2,2
124,2,2,2,2,2
125,2,2,2,2,2
126,2,2,2,2,2
127,2,2,2,2,2
128,2,2,2,2,2
129,2,2,2,2,2
130,2,2,2,2,2
