uuid,label_5,label_10,label_20,label_40,label_60
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,1,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,0,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,1,2,0,0,0
15,0,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,2,0,0,0
20,2,2,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,2,0,0,0,0
28,2,2,2,0,0
29,2,2,0,0,0
30,2,2,2,0,0
31,1,2,0,0,0
32,2,2,2,0,0
33,2,2,2,0,0
34,2,2,2,0,2
35,2,2,2,0,0
36,2,2,0,0,2
37,2,2,2,0,0
38,1,0,0,0,0
39,0,0,0,0,2
40,0,0,1,0,2
41,0,0,0,0,2
42,0,0,0,0,2
43,0,0,0,0,2
44,0,2,0,0,2
45,0,0,0,0,2
46,2,0,0,0,2
47,2,2,2,2,2
48,2,2,2,2,2
49,2,2,2,2,2
50,2,0,0,0,2
51,2,2,2,2,2
52,2,2,2,0,2
53,2,2,2,2,2
54,2,2,2,2,2
55,0,0,0,0,0
56,2,2,0,0,2
57,2,0,0,0,2
58,2,2,0,0,2
59,2,2,2,2,2
60,2,2,2,2,2
61,2,0,2,2,2
62,1,0,2,2,2
63,1,0,2,2,2
64,1,0,2,2,2
65,1,1,1,2,2
66,1,0,1,2,2
67,2,0,2,2,2
68,1,0,0,2,2
69,0,0,0,0,2
70,1,1,1,2,2
71,1,2,2,2,2
72,1,2,2,2,2
73,1,2,2,2,2
74,1,2,2,2,2
75,1,2,2,2,2
76,1,0,2,2,2
77,2,0,2,2,2
78,1,0,1,2,2
79,2,2,2,2,2
80,1,2,2,2,2
81,2,2,2,2,2
82,2,2,2,2,2
83,2,2,2,2,2
84,1,2,2,2,2
85,2,2,2,2,2
86,2,2,2,2,2
87,2,2,2,2,2
88,1,2,2,2,2
89,1,2,2,2,2
90,1,2,2,2,2
91,1,2,2,2,2
92,2,2,2,2,2
93,1,2,2,2,2
94,1,2,2,2,2
95,1,2,2,2,2
96,1,2,2,2,2
97,2,2,2,2,2
98,2,2,2,2,2
99,2,2,2,2,2
100,2,2,2,2,2
101,2,2,2,2,0
102,2,2,2,2,2
103,1,2,2,2,2
104,1,2,2,2,0
105,2,2,2,2,0
106,2,2,2,2,2
107,2,2,2,2,2
108,2,2,2,2,2
109,2,2,2,2,2
110,1,2,2,0,0
111,1,2,2,0,0
112,1,2,2,2,0
113,1,2,2,2,0
114,2,2,2,2,2
115,1,2,2,2,2
116,1,2,2,2,2
117,1,2,2,2,0
118,2,2,2,0,0
119,0,2,2,0,0
120,1,2,2,2,2
121,2,2,2,2,2
122,1,2,2,2,2
123,1,2,2,2,2
124,1,2,2,2,2
125,2,2,2,2,2
126,2,2,2,2,2
127,2,2,2,2,2
128,1,2,2,2,2
129,2,2,2,2,2
130,2,2,2,2,2
131,2,2,2,2,2
132,2,2,2,2,2
133,2,2,2,2,2
134,2,2,2,2,2
135,1,2,2,2,2
136,2,2,2,2,2
137,2,2,2,2,2
138,1,2,2,2,2
139,1,2,2,2,2
140,2,2,2,2,2
141,1,2,0,2,2
142,2,2,1,2,2
143,2,2,1,2,2
144,1,2,0,0,0
145,1,2,1,0,0
146,1,0,1,2,2
147,1,0,0,2,2
148,1,2,1,2,2
149,1,2,2,2,2
150,1,2,1,2,2
151,1,1,1,2,2
152,1,2,0,0,2
153,1,2,1,2,2
154,1,1,1,2,2
155,1,0,1,0,2
156,1,2,1,0,2
157,1,2,2,2,2
158,2,2,2,2,2
159,2,2,2,2,2
160,2,2,2,2,2
161,1,2,1,0,0
162,1,2,1,2,2
163,1,1,1,2,2
164,1,1,1,2,2
165,1,2,1,2,2
166,1,0,1,0,0
167,1,2,1,0,0
168,1,2,1,2,2
169,1,2,1,0,2
170,2,2,2,2,2
171,1,2,1,0,0
172,1,2,1,2,0
173,2,2,2,2,0
174,2,2,2,2,0
175,2,2,2,2,2
176,2,2,2,2,2
177,2,2,2,2,2
178,2,2,2,2,2
179,1,2,1,0,0
180,1,2,1,0,0
181,2,2,1,0,0
182,1,2,1,0,0
183,1,2,1,0,0
184,1,2,1,0,0
185,1,2,1,0,0
186,0,0,0,0,0
187,1,0,1,0,0
188,1,0,1,0,0
189,2,2,1,0,0
190,1,2,1,0,0
191,2,2,1,0,2
192,1,2,1,0,2
193,1,2,0,0,0
194,1,2,1,0,2
195,1,1,1,0,0
196,1,0,1,0,0
197,1,2,1,0,0
198,1,1,1,1,0
199,1,2,1,1,2
200,1,2,1,2,2
201,1,2,1,2,2
202,1,0,1,0,0
203,0,0,1,0,0
204,1,0,0,0,0
205,1,0,1,0,0
206,1,0,1,0,0
207,1,0,0,0,0
208,0,0,2,0,0
209,1,0,1,0,0
210,1,0,1,0,0
211,1,0,1,0,0
212,0,0,0,0,0
213,0,0,0,1,2
214,0,0,0,0,0
215,2,2,1,1,0
216,1,2,1,2,2
217,2,2,2,2,2
218,2,2,2,2,2
219,2,2,2,2,2
220,1,2,2,2,2
221,2,2,2,2,2
222,2,2,2,2,2
223,2,2,2,2,2
224,2,2,2,2,2
225,2,2,2,2,2
226,2,2,2,2,2
227,2,2,1,0,0
228,1,2,1,0,0
229,1,2,1,0,2
230,2,2,2,2,2
231,2,2,1,0,2
232,1,2,1,0,0
233,1,2,1,1,2
234,2,2,1,1,2
235,1,0,1,0,0
236,1,1,1,1,2
237,2,2,2,2,2
238,2,2,1,2,2
239,1,2,2,2,2
240,2,2,2,2,2
241,2,2,1,2,2
242,2,2,2,0,0
243,2,2,2,2,2
244,1,2,2,2,2
245,1,2,2,2,2
246,1,2,2,2,2
247,1,2,2,2,0
248,1,2,2,2,2
249,1,2,2,2,2
250,1,2,2,2,2
251,1,2,2,2,2
252,2,2,2,2,2
253,1,2,2,2,2
254,1,2,2,2,2
255,1,2,1,2,2
256,2,2,2,2,2
257,2,2,2,2,2
258,2,2,2,2,2
259,2,2,2,2,2
260,2,2,2,2,2
261,2,2,2,2,2
262,1,2,2,2,2
263,1,2,2,2,2
264,2,2,2,2,0
265,2,2,2,0,0
266,1,2,2,2,2
267,1,2,2,2,2
268,2,2,2,2,2
269,1,2,2,2,2
270,2,2,2,2,2
271,1,2,2,2,2
272,1,2,2,0,0
273,1,2,1,1,0
274,2,2,1,2,2
275,2,2,2,0,0
276,2,2,1,2,2
277,2,2,2,2,0
278,1,2,2,2,2
279,1,2,1,0,0
280,1,2,1,0,0
281,1,2,1,1,2
282,2,2,2,2,2
283,2,2,2,2,2
284,1,2,1,0,0
285,2,2,2,0,0
286,2,2,2,2,2
287,2,2,2,0,0
288,2,2,2,0,0
289,2,2,2,0,0
290,2,2,2,2,0
291,2,2,2,0,0
292,2,2,2,2,2
293,2,2,1,0,0
294,2,2,2,2,0
295,2,2,2,2,0
296,2,2,2,0,0
297,1,2,2,2,2
298,1,2,2,2,2
299,1,2,2,2,0
300,2,2,2,2,0
301,1,2,1,2,0
302,1,2,1,2,0
303,1,2,2,2,0
304,1,1,1,2,0
305,1,2,2,2,0
306,1,2,2,2,0
307,1,2,1,2,0
308,2,2,2,2,0
309,2,2,2,0,0
310,1,2,1,1,0
311,2,2,2,2,0
312,2,2,2,0,0
313,2,2,2,0,0
314,2,2,0,0,0
315,2,0,0,0,0
316,0,2,0,0,0
317,2,2,0,0,0
318,0,0,0,0,0
319,1,0,0,0,0
320,1,0,0,0,0
321,1,0,0,0,0
322,1,0,0,0,0
323,0,0,0,0,0
324,1,0,0,0,0
325,0,0,0,0,0
326,1,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,1,0,0,0,0
334,2,2,0,0,0
335,0,2,0,0,0
336,1,0,0,0,0
337,1,1,1,0,0
338,1,0,0,0,0
339,1,0,0,0,0
340,1,0,0,0,0
341,1,0,0,0,0
342,1,0,0,0,0
343,1,0,0,0,0
344,1,0,0,0,0
345,1,0,0,0,0
346,1,0,0,0,0
347,0,0,0,0,0
348,1,0,0,0,0
349,1,0,0,0,0
350,1,0,0,0,0
351,1,0,0,0,0
352,1,2,0,0,0
353,2,2,0,0,0
354,1,2,0,0,0
355,2,0,0,0,0
356,1,0,0,0,0
357,1,0,0,0,0
358,1,0,0,0,0
359,1,0,0,0,0
360,1,0,0,0,0
361,0,0,0,0,0
362,1,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,1,0,0,0,0
367,2,2,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,1,0,0,0,0
378,1,0,0,0,0
379,1,0,0,0,0
